Column1;First name;Last name;Published
420;Greg;Anderson;True
422;Sarah;Kurnick;True
423;Dylan;Marron;True
424;John;Kerry;True
425;Lorenzo;Garc????a-Amaya;False
426;Olivia;Arthur;True
427;Cara;Greene Epstein;True
430;Max;Hawkins;True
431;Evan;Zodl;False
432;Carolyn;Freiwald;True
433;Bill;Burnett;False
434;Gbenga;;
435;Rahwa;Ghirmatzion;True
437;Matt;Langione;True
438;Thomas;Dawson;False
439;Melanie;Peffer;False
440;Karen;Scrivener;True
441;Angela;Francis;True
442;Carolyn;Marshall;False
443;Juan;Enriquez;True
444;Qiuqing;Tai;True
446;Moriba;Jah;True
448;Nick;Caruso;False
449;R. Alan;Brooks;True
450;Jessica;Garza;True
451;Apiorkor;Seyiram Ashong-Abbey;True
452;Arinjay;Banerjee;False
453;Rod;Phillips;False
454;Elizabeth;Diller;True
455;Nora;Flanagan;True
457;Nimisha;Jain;True
459;Carlos;Moreno;True
460;Qi Wu;??????;False
461;Tawanda;Kanhema;True
462;Mostafa;Minawi;False
463;Tracy;Young;True
464;John;Kitching;False
465;Amanda;Gorman;True
466;Max;Rashbrooke;True
468;Mehret;Mandefro;True
469;His Holiness Pope;Francis;True
471;Mainak;Mazumdar;True
472;Karen;Eber;True
474;Betsy;Kauffman;True
476;Achim;Steiner;True
477;Bas;Sudmeijer;True
478;Robert;Siddall;False
479;Julia;Gillard;True
480;Jamila;Gordon;True
481;Madison;McFerrin;True
483;Christine;Carter;True
484;Renee;Montgomery;True
485;Niro;Sivanathan;True
486;Yen;Pham;False
487;Tilak;Mandadi;True
488;AJ;Jacobs;False
489;Tom;Schuler;True
490;Merve;Emre;False
492;Dan;Schulman;True
493;Genevieve;Bell;True
494;Kemi;DaSilva-Ibru;True
495;Lucy;Cooke;True
496;Ajay;Banga;True
497;Emily;Dickinson;False
498;Anna;Babel;True
499;Wendy;Troxel;True
500;Billy Samuel;Mwape;True
501;Matteo;Fadel;False
502;Ang????lique;Parisot-Potter;True
503;Jeremy;Brewer;True
505;Sarah;Brosnan;True
506;Sakinah;Hofler;True
508;Kluane;Adamek;True
510;"Mike;""Sullivan""""	 "";";;
511;Myles;Allen;True
512;Emily;Levesque;True
513;Gwen Yi;Wong;False
514;Jeff;Dekofsky;False
515;Adie;Delaney;True
517;Wale;Elegbede;True
518;Sharon;Weinberger;True
519;Eve;Gaus;False
520;Yvonne;Aki-Sawyerr;True
521;Micah;Eames;True
522;Peggy;Chan;False
523;Patrice;Gordon;True
524;Sophie;Rose;True
525;Andrew;Pelling;True
527;Cedric;Habiyaremye;True
528;Jo Michael;Rezes;True
530;Johanna;Benesty;True
531;Kathy;Mendias;True
532;JayaShri;Maathaa;True
534;Seena;Mathew;False
535;Varun;Sivaram;True
536;;Kesha;False
537;Jennifer;Petriglieri;True
538;Mar????a Teresa;Kumar;True
539;Gloria;Steinem;True
540;Christian;Moro;False
541;Sviatlana;Tsikhanouskaya;True
542;Anja;Blacha;False
543;JoAnne S.;Bass;False
544;Richard;Coffin;False
545;Rebecca;Henderson;True
546;Erika;Cheung;True
547;Anees;Bahji;False
548;Rose M.;Mutiso;True
549;Gil;Winch;True
550;Seth;Darling;False
551;Danielle;Torley;True
552;David;Hu;False
553;Sophie;Howe;True
554;Stephen;Wilkes;True
555;John;Soluri;False
556;Nisha;Anand;True
557;Aim????e;Eubanks Davis;True
558;Kaeli;Swift;True
560;Ishan;Bhabha;True
562;Claire;Wardle;True
563;Christiana;Figueres;True
564;Mand????;Holford;True
565;Kevin;Toolis;True
566;Jean-Fran????ois;Bastin;False
568;Van;Jones;True
569;Leor;Weinberger;True
570;Amy C.;Edmondson;True
571;Andri Sn????r;Magnason;True
572;Kedra;Newsom Reeves;True
573;Roman;Krznaric;True
575;Kristin;Jones;True
577;Yasmin;Hurd;True
578;"Jonathan;""Sullivan""""	 "";";;
579;Lisa;Jackson;True
580;Dame Vivian;Hunt;True
582;Kara;Hurst;True
583;Paco;de Leon;True
584;Ant????nio;Guterres;True
585;Thomas;Crowther;True
586;Severn;Cullis-Suzuki;True
587;Priyanka;Chopra Jonas;True
588;Prajakta;Koli;False
589;Jane;Fonda;True
591;Mark;Ruffalo;False
594;Johan;Rockstr????m;True
595;Ursula;von der Leyen;True
596;Daniel;Finkel;False
